City,Date,PM2.5,PM10,NO2,SO2,CO,O3,NO,NOx,NH3,AQI
Ahmedabad,2015-01-01,0.0,0.0,18.22,27.64,0.92,73.62,0.92,17.15,0.0,0.0
Ahmedabad,2015-01-02,135.85099999999997,0.0,42.08,75.23,43.48,73.62,43.48,84.57,0.0,782.0
Ahmedabad,2015-01-03,61.12,0.0,16.81,28.44,3.58,30.48,3.58,20.92,0.0,782.0
Ahmedabad,2015-01-04,96.04,0.0,20.07,62.42,3.8,46.61,3.8,23.46,0.0,324.0
Ahmedabad,2015-01-05,96.65,0.0,15.9,39.41,4.67,11.83,4.67,20.53,0.0,240.0
Ahmedabad,2015-01-06,77.22,0.0,15.47,71.97,7.02,9.56,7.02,21.13,0.0,185.0
Ahmedabad,2015-01-07,4.66,0.0,10.9,7.31,9.01,6.38,9.01,20.36,0.0,223.0
Ahmedabad,2015-01-08,40.29,0.0,10.52,8.27,6.74,3.57,6.74,17.26,0.0,173.0
Ahmedabad,2015-01-09,63.2,0.0,14.82,3.69,17.03,7.57,17.03,31.85,0.0,302.0
Ahmedabad,2015-01-10,76.41,0.0,34.7,15.44,17.96,31.49,17.96,52.67,0.0,396.0
Ahmedabad,2015-01-11,76.41,0.0,34.7,15.44,17.96,31.49,17.96,52.67,0.0,396.0
Ahmedabad,2015-01-12,76.41,0.0,34.7,15.44,17.96,31.49,17.96,52.67,0.0,396.0
Ahmedabad,2015-02-01,76.41,0.0,15.69,24.55,0.97,34.06,0.97,16.46,0.0,396.0
Ahmedabad,2015-02-02,135.85099999999997,0.0,35.31,55.04,54.56,73.62,54.56,72.8,0.0,914.0
Ahmedabad,2015-02-03,60.78,0.0,18.21,29.48,9.07,34.75,9.07,27.34,0.0,189.0
Ahmedabad,2015-02-04,77.69,0.0,18.87,100.48,5.24,27.14,5.24,23.06,0.0,222.0
Ahmedabad,2015-02-05,126.77,0.0,23.93,93.18,15.69,36.71,15.69,39.73,0.0,344.0
Ahmedabad,2015-02-06,45.29,0.0,12.74,18.64,7.25,6.32,7.25,19.66,0.0,179.0
Ahmedabad,2015-02-07,48.72,0.0,11.94,5.72,9.56,6.61,9.56,21.5,0.0,230.0
Ahmedabad,2015-02-08,41.16,0.0,10.51,13.48,6.91,3.69,6.91,17.42,0.0,172.0
Ahmedabad,2015-02-09,64.73,0.0,14.82,6.45,17.01,12.13,17.01,31.83,0.0,302.0
Ahmedabad,2015-02-10,102.49,0.0,37.85,27.32,33.31,24.85,33.31,71.17,0.0,731.0
Ahmedabad,2015-02-11,122.54,0.0,44.2,13.78,59.355999999999995,60.66,59.355999999999995,113.47,0.0,731.0
Ahmedabad,2015-02-12,122.54,0.0,44.2,13.78,59.355999999999995,60.66,59.355999999999995,113.47,0.0,731.0
